
💝TW250408,#genre#
寰宇新聞,http://222.128.55.152:9080/live/hy.m3u8
寰宇新聞,https://gdfire2.67890123.cn:8088/live/hyxw.m3u8
寰宇新聞,http://aktv_stream1.m16tv.cfd/stream/aktv/null-7/AKTV.m3u8
東森新聞,https://gdfire2.67890123.cn:8088/live/dsxw.m3u8
東森新聞,https://pixman.mytvsuper.com.mp/Smart.php?id=ettvnews
中天新聞,https://gdfire2.67890123.cn:8088/live/ztxw.m3u8
中天新聞,http://222.128.55.152:9080/live/fc.m3u8
中天新聞,https://pixman.mytvsuper.com.mp/Smart.php?id=ctinews
中天新聞2,https://gdfire2.67890123.cn:8088/live/ztxw2.m3u8
東森財經新聞 ETTV Business,https://pixman.mytvsuper.com.mp/Smart.php?id=ettvcaijing_twn
台視新聞,http://222.128.55.152:9080/live/ts.m3u8
中視新聞,https://pixman.mytvsuper.com.mp/Smart.php?id=zhongshinews_twn
民視新聞,https://pixman.mytvsuper.com.mp/Smart.php?id=ftvnew_taiwan
公視2,https://pixman.mytvsuper.com.mp/Smart.php?id=ctv2_twn
龍華電影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龍華經典,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
龍華經典,https://pixman.mytvsuper.com.mp/Smart.php?id=lunghuajingdian_twn
龍華卡通,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
龍華偶像,https://cdn8.163189.xyz/live/lhox/stream.m3u8
龍華日韓,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
龍華戲劇,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
龍華戲劇,https://pixman.mytvsuper.com.mp/Smart.php?id=lunghuaxiju_twn
TVBS 歡樂台（備份）,https://pixman.mytvsuper.com.mp/Smart.php?id=tvbshuanle_twn
TVBS HD,https://pixman.mytvsuper.com.mp/Smart.php?id=tvbs
中天綜合 CTI Metro,https://pixman.mytvsuper.com.mp/Smart.php?id=ctizhonghe
台視綜合台,https://pixman.mytvsuper.com.mp/Smart.php?id=ttvzhonghe
民視 HD,https://pixman.mytvsuper.com.mp/Smart.php?id=ftvhd_taiwan
八大綜合 GTV Metro,https://pixman.mytvsuper.com.mp/Smart.php?id=badazhonghe
八大戲劇 GTV Drama,https://pixman.mytvsuper.com.mp/Smart.php?id=badadrama
八大娛樂 GTV Entertainment,https://pixman.mytvsuper.com.mp/Smart.php?id=badaentertain
三立都會台,https://pixman.mytvsuper.com.mp/Smart.php?id=sanlidouhui
東森綜合 ETTV Metro,https://pixman.mytvsuper.com.mp/Smart.php?id=ettvzhonghe
東森戲劇 ETTV Drama,https://pixman.mytvsuper.com.mp/Smart.php?id=ettvdrama
東森超視,https://pixman.mytvsuper.com.mp/Smart.php?id=ettvsuper
AXN Taiwan,https://pixman.mytvsuper.com.mp/Smart.php?id=axn_twn
靖天國際台,https://pixman.mytvsuper.com.mp/Smart.php?id=jingtianintl_twn
緯來電影台,https://pixman.mytvsuper.com.mp/Smart.php?id=videolandmovie
緯來育樂,https://pixman.mytvsuper.com.mp/Smart.php?id=videolandyule
緯來精彩,https://pixman.mytvsuper.com.mp/Smart.php?id=videolandspecial_twn
好消息 2,https://pixman.mytvsuper.com.mp/Smart.php?id=good2_twn
大愛2台,https://pixman.mytvsuper.com.mp/Smart.php?id=daai2_twn
美食星球,https://pixman.mytvsuper.com.mp/Smart.php?id=foodplanet_twn
亞洲旅游 TLC Asia,https://pixman.mytvsuper.com.mp/Smart.php?id=tlc_twn
阿里郎 Arirang,https://pixman.mytvsuper.com.mp/Smart.php?id=arirang_twn
博斯運動 1,https://pixman.mytvsuper.com.mp/Smart.php?id=bosisport1_twn
博斯無限,https://pixman.mytvsuper.com.mp/Smart.php?id=bosiunlimited_twn
MTV Live,https://pixman.mytvsuper.com.mp/Smart.php?id=mtvhd_twn
龍詳時代,https://pixman.mytvsuper.com.mp/Smart.php?id=lungxiangtime_twn
EYETV 旅游,https://pixman.mytvsuper.com.mp/Smart.php?id=eyetvtravel_twn
